iter	RMSE
0	0.599209527
1	0.5944680337
2	0.5905973578
3	0.5865066103
4	0.5827404138
5	0.5793709993
6	0.5764364395
7	0.5735576794
8	0.5708995045
9	0.5685924638
10	0.5660291821
11	0.5639897044
12	0.5615435334
13	0.5595722864
14	0.5576492631
15	0.5558110244
16	0.554357835
17	0.5530251322
18	0.5518227539
19	0.5504595996
20	0.5493088056
21	0.5478305693
22	0.5467468862
23	0.5454488998
24	0.5445722663
25	0.5435497401
26	0.5427768197
27	0.5418763618
28	0.5413145655
29	0.5407008831
30	0.5397984061
31	0.5391743038
32	0.5383060279
33	0.5374400745
34	0.5368219289
35	0.5360288621
36	0.5357126211
37	0.5351803208
38	0.5346317613
39	0.5340208085
40	0.53344259
41	0.5331331735
42	0.5326008871
43	0.5322589188
44	0.5317555827
45	0.5313335049
46	0.5309496732
47	0.5305837223
48	0.5301675504
49	0.5297159909
50	0.52935379
51	0.5290430696
52	0.5287315504
53	0.5282612516
54	0.5277444186
55	0.527508532
56	0.5270056167
57	0.5266311516
58	0.5261315891
59	0.5258398161
60	0.5253611747
61	0.5248640621
62	0.5245058002
63	0.5243426215
64	0.5240556944
65	0.5237720239
66	0.5235403266
67	0.5233342142
68	0.5231175011
69	0.5226950643
70	0.5224626571
71	0.5221695655
72	0.5218754755
73	0.5216522688
74	0.5212400553
75	0.5209898594
76	0.5206402968
77	0.5203360133
78	0.5199543785
79	0.5197519129
80	0.5193511706
81	0.519125207
82	0.5189154853
83	0.5188102447
84	0.5185549053
85	0.5183250193
86	0.518038881
87	0.51788224
88	0.5176562019
89	0.5174247522
90	0.5173107065
91	0.5170737656
92	0.5168006346
93	0.5166435221
94	0.5164788353
95	0.5162989992
96	0.5162217188
97	0.5159591667
98	0.515703386
99	0.5154089568
100	0.5153273001
101	0.515207866
102	0.5150717485
103	0.5147675738
104	0.5145635316
105	0.5143780552
106	0.5142240943
107	0.5140567192
108	0.5138573863
109	0.5136537445
110	0.5136132473
111	0.5132757761
112	0.5131403895
113	0.5129488683
114	0.5128212099
115	0.5126483196
116	0.5123380217
117	0.5122794076
118	0.5119561777
119	0.5119261385
120	0.5118275998
121	0.5115866383
122	0.5114066242
123	0.5111587923
124	0.5109345472
125	0.5107758059
126	0.5106454787
127	0.5105376395
128	0.510392081
129	0.5101924456
130	0.5099676256
131	0.509885909
132	0.5098174896
133	0.5095193349
134	0.509430818
135	0.5092658951
136	0.5091408094
137	0.5089659733
138	0.5088524093
139	0.5088022283
140	0.5087367816
141	0.508628898
142	0.5085411721
143	0.5081863781
144	0.5080410183
145	0.50799933
146	0.507883656
147	0.5076985994
148	0.5075822135
149	0.5074494642
150	0.5073180233
151	0.5072768841
152	0.5071577726
153	0.5070703765
154	0.5070309271
155	0.5068568408
156	0.5068103116
157	0.5065907516
158	0.5063806293
159	0.5062771066
160	0.5059588129
161	0.5058879279
162	0.5058570571
163	0.5057942145
164	0.5057443846
165	0.5057108111
166	0.5055786335
167	0.5054101511
168	0.505369952
169	0.505235625
170	0.5048447025
171	0.5047876096
172	0.5046616172
173	0.5045994272
174	0.5045526406
175	0.5045025237
176	0.5043518596
177	0.5042265418
178	0.504181066
179	0.504035007
180	0.5039817091
181	0.5039352882
182	0.5037854568
183	0.5037186047
184	0.5035888542
185	0.5034699224
186	0.5032977841
187	0.503248066
188	0.503035516
189	0.502885698
190	0.502833578
191	0.5027014123
192	0.5025453191
193	0.5024957296
194	0.502446531
195	0.5024018073
196	0.5021586217
197	0.5020773951
198	0.5018050512
199	0.5016496714
200	0.5015488908
201	0.501398833
202	0.5012755812
203	0.5011246664
204	0.5010780304
205	0.5009966705
206	0.5009331707
207	0.5008879871
208	0.5007143853
209	0.5006355702
210	0.5004670591
211	0.5004233672
212	0.5003775694
213	0.5002069152
214	0.5001644284
215	0.5000767298
216	0.4999430594
217	0.4998640575
218	0.4997241245
219	0.4995949127
220	0.4995514515
221	0.4995088451
222	0.4994468756
223	0.4993558836
224	0.4993145247
225	0.4992500072
226	0.4989893804
227	0.4989220336
228	0.4988815386
229	0.498770713
230	0.498731772
231	0.4986929203
232	0.4983625521
233	0.4982512816
234	0.4982132964
235	0.4981759031
236	0.4980107459
237	0.497905347
238	0.4978690639
239	0.4977400066
240	0.4977042871
241	0.4976691884
242	0.4976086265
243	0.4975091718
244	0.4974746573
245	0.4973272957
246	0.4972934066
247	0.4972602137
248	0.4972274591
249	0.4971209392
