iter	Passed	Remaining
0	7	7210
1	15	7532
2	22	7372
3	29	7323
4	36	7219
5	43	7242
6	50	7172
7	57	7121
8	64	7067
9	71	7068
10	78	7020
11	84	6979
12	93	7067
13	100	7099
14	107	7066
15	114	7047
16	122	7054
17	129	7037
18	136	7052
19	144	7077
20	151	7070
21	158	7067
22	166	7068
23	173	7055
24	180	7053
25	188	7069
26	196	7072
27	203	7062
28	210	7056
29	217	7032
30	224	7024
31	232	7044
32	239	7029
33	247	7024
34	254	7005
35	261	7000
36	268	6978
37	275	6982
38	282	6962
39	289	6943
40	295	6914
41	302	6910
42	310	6904
43	316	6885
44	323	6875
45	331	6869
46	338	6870
47	346	6865
48	353	6858
49	360	6851
50	368	6850
51	375	6840
52	382	6838
53	389	6823
54	396	6811
55	403	6809
56	410	6798
57	418	6789
58	425	6780
59	432	6772
60	439	6761
61	446	6756
62	453	6751
63	461	6744
64	468	6743
65	475	6728
66	482	6716
67	488	6694
68	495	6681
69	502	6670
70	509	6664
71	516	6659
72	523	6646
73	530	6636
74	537	6625
75	544	6614
76	551	6608
77	558	6605
78	566	6598
79	573	6593
80	580	6585
81	587	6574
82	594	6563
83	600	6552
84	607	6543
85	614	6533
86	622	6528
87	628	6518
88	635	6507
89	643	6502
90	650	6496
91	657	6490
92	664	6480
93	671	6470
94	678	6459
95	684	6449
96	691	6436
97	698	6429
98	705	6422
99	712	6415
100	719	6402
101	726	6394
102	734	6393
103	740	6382
104	747	6373
105	754	6360
106	760	6350
107	767	6339
108	773	6326
109	781	6320
110	787	6310
111	794	6302
112	801	6292
113	808	6283
114	815	6274
115	823	6274
116	831	6273
117	838	6267
118	845	6257
119	851	6246
120	859	6243
121	866	6233
122	873	6231
123	880	6221
124	887	6213
125	894	6206
126	902	6202
127	909	6196
128	916	6190
129	924	6188
130	932	6185
131	939	6178
132	946	6171
133	954	6167
134	961	6160
135	969	6158
136	975	6147
137	983	6143
138	990	6134
139	997	6125
140	1005	6122
141	1013	6122
142	1020	6115
143	1027	6107
144	1034	6100
145	1041	6091
146	1048	6084
147	1055	6077
148	1062	6070
149	1070	6063
150	1077	6056
151	1084	6048
152	1091	6040
153	1098	6032
154	1105	6026
155	1112	6017
156	1119	6010
157	1126	6002
158	1133	5995
159	1140	5987
160	1147	5981
161	1155	5975
162	1162	5967
163	1169	5961
164	1175	5949
165	1183	5943
166	1190	5937
167	1197	5929
168	1205	5928
169	1213	5923
170	1221	5922
171	1228	5913
172	1235	5907
173	1242	5899
174	1250	5893
175	1256	5881
176	1263	5873
177	1270	5865
178	1276	5855
179	1283	5847
180	1290	5837
181	1296	5829
182	1303	5819
183	1309	5808
184	1316	5799
185	1323	5792
186	1330	5786
187	1338	5779
188	1344	5769
189	1351	5761
190	1358	5752
191	1364	5744
192	1372	5737
193	1378	5727
194	1385	5720
195	1392	5711
196	1398	5702
197	1405	5692
198	1411	5682
199	1418	5672
200	1424	5663
201	1432	5659
202	1439	5652
203	1446	5644
204	1452	5633
205	1459	5625
206	1465	5615
207	1471	5604
208	1478	5596
209	1485	5587
210	1492	5579
211	1498	5570
212	1505	5562
213	1512	5556
214	1519	5547
215	1526	5539
216	1533	5532
217	1539	5522
218	1545	5513
219	1552	5502
220	1558	5494
221	1564	5484
222	1571	5474
223	1577	5465
224	1584	5457
225	1590	5448
226	1597	5439
227	1603	5430
228	1609	5420
229	1616	5412
230	1623	5405
231	1630	5396
232	1636	5388
233	1642	5377
234	1648	5367
235	1654	5357
236	1661	5348
237	1668	5342
238	1674	5332
239	1681	5324
240	1687	5315
241	1694	5306
242	1700	5298
243	1707	5289
244	1714	5282
245	1720	5273
246	1726	5264
247	1732	5254
248	1739	5245
249	1745	5237
250	1751	5226
251	1758	5219
252	1765	5212
253	1771	5203
254	1777	5194
255	1784	5186
256	1790	5176
257	1796	5167
258	1803	5160
259	1810	5152
260	1817	5145
261	1824	5139
262	1830	5130
263	1837	5122
264	1843	5114
265	1851	5107
266	1857	5099
267	1863	5090
268	1869	5081
269	1876	5072
270	1882	5063
271	1888	5055
272	1895	5046
273	1902	5040
274	1908	5031
275	1915	5024
276	1921	5015
277	1928	5007
278	1934	4999
279	1941	4991
280	1947	4983
281	1953	4974
282	1960	4966
283	1966	4957
284	1972	4949
285	1979	4941
286	1985	4932
287	1992	4926
288	1998	4917
289	2005	4908
290	2011	4901
291	2018	4894
292	2024	4886
293	2031	4877
294	2038	4870
295	2044	4862
296	2050	4854
297	2057	4846
298	2063	4837
299	2069	4829
300	2076	4821
301	2082	4814
302	2089	4807
303	2096	4799
304	2102	4790
305	2108	4781
306	2115	4774
307	2121	4767
308	2128	4759
309	2135	4752
310	2141	4745
311	2148	4738
312	2155	4730
313	2161	4723
314	2168	4715
315	2175	4707
316	2181	4700
317	2188	4693
318	2194	4685
319	2201	4677
320	2207	4670
321	2214	4661
322	2220	4654
323	2228	4648
324	2235	4642
325	2241	4634
326	2248	4627
327	2254	4619
328	2261	4612
329	2268	4605
330	2275	4599
331	2282	4592
332	2289	4585
333	2296	4578
334	2302	4571
335	2309	4564
336	2317	4558
337	2324	4552
338	2331	4546
339	2338	4539
340	2345	4532
341	2352	4526
342	2359	4520
343	2367	4514
344	2374	4507
345	2380	4499
346	2387	4492
347	2393	4485
348	2400	4477
349	2408	4472
350	2415	4465
351	2422	4459
352	2429	4452
353	2435	4444
354	2442	4437
355	2448	4430
356	2456	4424
357	2463	4417
358	2470	4411
359	2477	4404
360	2484	4397
361	2491	4390
362	2498	4383
363	2505	4377
364	2512	4370
365	2519	4363
366	2525	4355
367	2532	4349
368	2539	4342
369	2546	4335
370	2553	4328
371	2560	4322
372	2567	4315
373	2573	4307
374	2580	4301
375	2587	4293
376	2594	4286
377	2600	4279
378	2608	4274
379	2615	4266
380	2621	4258
381	2628	4252
382	2635	4245
383	2642	4239
384	2649	4232
385	2657	4226
386	2663	4219
387	2670	4211
388	2677	4205
389	2684	4198
390	2691	4191
391	2698	4184
392	2705	4178
393	2712	4171
394	2718	4164
395	2725	4156
396	2732	4150
397	2740	4144
398	2746	4137
399	2753	4130
400	2759	4122
401	2767	4116
402	2773	4109
403	2780	4102
404	2787	4095
405	2795	4089
406	2802	4083
407	2809	4075
408	2816	4069
409	2822	4061
410	2829	4055
411	2836	4047
412	2842	4040
413	2849	4033
414	2856	4027
415	2863	4020
416	2870	4012
417	2877	4006
418	2884	3999
419	2890	3992
420	2897	3984
421	2904	3977
422	2910	3970
423	2917	3963
424	2924	3956
425	2932	3950
426	2939	3944
427	2946	3937
428	2953	3931
429	2960	3924
430	2967	3917
431	2974	3910
432	2980	3902
433	2986	3895
434	2993	3888
435	3000	3881
436	3007	3875
437	3014	3868
438	3021	3861
439	3028	3854
440	3035	3847
441	3041	3839
442	3048	3832
443	3054	3825
444	3061	3818
445	3068	3811
446	3074	3803
447	3081	3797
448	3088	3790
449	3095	3783
450	3102	3777
451	3109	3769
452	3116	3762
453	3122	3755
454	3129	3748
455	3135	3741
456	3142	3734
457	3152	3730
458	3160	3725
459	3167	3718
460	3175	3712
461	3182	3706
462	3189	3699
463	3196	3692
464	3202	3684
465	3209	3677
466	3216	3670
467	3223	3664
468	3230	3657
469	3237	3650
470	3243	3643
471	3250	3635
472	3256	3628
473	3263	3621
474	3270	3614
475	3276	3607
476	3284	3601
477	3290	3593
478	3297	3586
479	3304	3579
480	3311	3572
481	3317	3565
482	3324	3558
483	3331	3551
484	3338	3544
485	3344	3537
486	3351	3530
487	3357	3522
488	3364	3515
489	3371	3508
490	3377	3501
491	3384	3494
492	3390	3486
493	3396	3479
494	3402	3471
495	3409	3464
496	3416	3457
497	3423	3450
498	3429	3443
499	3436	3436
500	3443	3429
501	3449	3422
502	3456	3415
503	3463	3408
504	3470	3401
505	3477	3394
506	3483	3386
507	3489	3379
508	3496	3372
509	3502	3365
510	3509	3358
511	3515	3350
512	3522	3343
513	3528	3336
514	3535	3329
515	3541	3321
516	3547	3313
517	3553	3306
518	3560	3299
519	3566	3292
520	3573	3285
521	3579	3278
522	3585	3270
523	3592	3263
524	3598	3256
525	3605	3248
526	3612	3241
527	3618	3234
528	3625	3227
529	3631	3220
530	3637	3213
531	3644	3205
532	3650	3198
533	3657	3191
534	3663	3184
535	3669	3176
536	3676	3169
537	3682	3162
538	3688	3155
539	3695	3147
540	3701	3140
541	3708	3133
542	3714	3126
543	3720	3118
544	3726	3111
545	3733	3104
546	3739	3096
547	3746	3089
548	3752	3083
549	3759	3075
550	3765	3068
551	3772	3062
552	3779	3055
553	3786	3048
554	3792	3040
555	3800	3034
556	3806	3027
557	3812	3020
558	3818	3012
559	3825	3005
560	3831	2998
561	3838	2991
562	3845	2985
563	3853	2978
564	3860	2971
565	3866	2964
566	3873	2957
567	3879	2950
568	3885	2943
569	3892	2936
570	3899	2929
571	3905	2922
572	3912	2915
573	3918	2908
574	3925	2901
575	3931	2894
576	3938	2887
577	3944	2879
578	3951	2872
579	3957	2865
580	3963	2858
581	3971	2852
582	3978	2845
583	3984	2838
584	3991	2831
585	3997	2824
586	4004	2817
587	4010	2810
588	4017	2803
589	4023	2796
590	4029	2788
591	4036	2782
592	4043	2775
593	4050	2768
594	4056	2761
595	4063	2754
596	4068	2746
597	4075	2739
598	4081	2732
599	4087	2725
600	4094	2718
601	4100	2711
602	4107	2704
603	4113	2696
604	4119	2689
605	4128	2684
606	4136	2678
607	4143	2671
608	4150	2664
609	4156	2657
610	4162	2650
611	4169	2643
612	4175	2635
613	4182	2629
614	4189	2622
615	4196	2615
616	4202	2608
617	4208	2601
618	4215	2594
619	4221	2587
620	4227	2579
621	4234	2573
622	4240	2566
623	4247	2559
624	4253	2551
625	4259	2544
626	4266	2537
627	4272	2530
628	4279	2523
629	4285	2516
630	4292	2510
631	4299	2503
632	4305	2496
633	4311	2489
634	4319	2482
635	4326	2475
636	4332	2468
637	4338	2461
638	4344	2454
639	4350	2447
640	4357	2440
641	4363	2433
642	4370	2426
643	4376	2419
644	4382	2412
645	4388	2404
646	4394	2397
647	4401	2390
648	4407	2383
649	4414	2376
650	4420	2369
651	4427	2363
652	4434	2356
653	4441	2349
654	4447	2342
655	4454	2335
656	4460	2328
657	4469	2322
658	4475	2316
659	4482	2309
660	4490	2302
661	4497	2296
662	4504	2289
663	4512	2283
664	4520	2277
665	4528	2271
666	4535	2264
667	4542	2257
668	4550	2251
669	4557	2244
670	4565	2238
671	4572	2231
672	4579	2225
673	4587	2218
674	4594	2212
675	4602	2205
676	4609	2199
677	4617	2192
678	4623	2185
679	4631	2179
680	4638	2172
681	4645	2166
682	4653	2159
683	4660	2152
684	4666	2146
685	4674	2139
686	4681	2132
687	4688	2126
688	4695	2119
689	4702	2112
690	4708	2105
691	4715	2099
692	4723	2092
693	4729	2085
694	4736	2078
