电影名,电影id,年代,时光评分,评论人数,导演,编剧,类型,国家地区,发行公司,片长,上映日期,剧情介绍,主演
"前任4：英年早婚

(
2023
)",273511,2023,6,2人评分,田羽生,田羽生大宽大广,爱情/喜剧,中国,华谊兄弟电影有限公司上海淘票票影视文化有限公司中国电影股份有限公司北京电影发行分公司,129分钟,9月28日2023年,十年前任，9.28就爱吧！9月28日一起看129分钟的《前任4》吧，我们也要爱很久很久。孟云（韩庚饰）和余飞（郑恺饰）这对难兄难弟，在历经情场的洗礼之后，终于来到了谈婚论嫁的年纪。正在经历“分手后遗症”的孟云，面对家人的催促，带着“为什么要结婚”的疑问，开始寻找真爱；而余飞和女友丁点（曾梦雪饰）为了应对结婚后即将产生的各种情况，自创了“结婚冷静期”，将婚后生活提前预演。两兄弟开启一场全新的爱情挑战……,"韩庚GengHan
郑恺RyanZheng
于文文KellyYu
曾梦雪ZengMengxue"
"坚如磐石

(
2023
)",264207,2023,6,5人评分,张艺谋,陈宇,剧情/悬疑/犯罪,中国,,127分钟,9月28日2023年,导演张艺谋回归现实题材之作，故事围绕苏见明（雷佳音饰）与李慧琳（周冬雨饰）联手调查一起暗流涌动、牵扯巨大利益集团的犯罪案件展开。为了调查案情，苏见明不顾位高权重的父亲郑刚（张国立饰）的劝阻，赶赴富商黎志田（于和伟饰）的“鸿门宴”，在观看了一出黎志田愚弄他人、手入火锅的猖狂戏码后，越来越多的线索逐渐浮出水面。在这些线索背后的暗流涌动，让人隐隐感到一盘大棋正在筹谋。,"雷佳音JiayinLei
饰?苏见明

张国立GuoliZhang
饰?郑刚

于和伟HeweiYu
饰?黎志田

周冬雨DongyuZhou
饰?李慧琳"
"志愿军：雄兵出击

(
2023
)",273555,2023,7.1,2人评分,陈凯歌,张珂,剧情/战争/历史,中国,中国电影股份有限公司,140分钟,9月28日2023年,为纪念抗美援朝战争胜利70周年，陈凯歌将打造《志愿军》三部曲，全景式、多维度立体展现这场新中国的立国之战。电影《志愿军：雄兵出击》为该系列首部。1949年建国初期，新中国面临“内忧外患”局面。朝鲜内战爆发以来，美军屡在中朝边境挑衅，平民惨遭轰炸。为了维护来之不易的和平、为了世代长久的安稳，1950年10月，中国人民志愿军入朝，“抗美援朝”战争拉开帷幕。这是一场“举国之战”——朝鲜战场，即使军备实力对比悬殊，我军却用壮烈牺牲换回节节胜利；外交舞台，中华人民共和国代表团首度亮相联合国，中国新声赢得国际敬畏。新中国，寸土不让扬国威；新青年，意气风发保家国。,"唐国强GuoqiangTang
饰?毛泽东

王砚辉YanhuiWang
饰?彭德怀

刘劲JinLiu
饰?周恩来

辛柏青BaiqingXin
饰?李默尹"
"敢死队4：最终章

(
2023
)",227594,2023,6.1,86人评分,斯科特·沃夫,达夫·卡拉汉姆MaxAdamsSpenserCohen,动作/惊悚/冒险,美国,狮门影业CaliforniaFilmesDutchFilmWorks(DFW)B.V.,103分钟,9月15日2023年,再次聚焦一群资深雇佣兵的故事。,"西尔维斯特·史泰龙SylvesterStallone
杰森·斯坦森JasonStatham
兰迪·库卓RandyCouture
50分50Cent"
"第八个嫌疑人

(
2022
)",264513,2022,6.1,110人评分,李子俊,周汶儒,中国,中国,,,9月9日2023年,一名建筑公司老板策划震惊全国的押钞车抢劫案，计划失败，开始逃亡之路。公正刚直的警察为揪出这名嫌疑人，退休后只身前往边境城市，却遇上一个洗心革面的「陌生人」……然而，在法律之下，没有人能选择赎罪的方式。,"大鹏ChengpengDong
饰?陈信文

林家栋KaTungLam
饰?王守月

张颂文SongwenZhang
饰?何蓝

齐溪XiQi"
"莫斯科行动

(
2023
)",272641,2023,0,0人评分,邱礼涛,陈大明,动作/剧情/犯罪,中国,,120分钟,9月29日2023年,本片根据中国第一桩跨境追捕真实案件改编！??90年代初，前苏联解体后经济濒临崩溃，商品供应极度匮乏。大批中国商贩乘坐K3次北京至莫斯科的国际列车往来中俄两国，把中国的服装、食品、化妆品等消费品贩运到俄罗斯，获取高额利润。在这列承载着巨额现金和货品的列车上，犯罪分子的罪恶欲望也在疯狂滋长。以苗青山（黄轩饰）为首的悍匪集团训练有素分工明确，对K3次国际列车进行了丧心病狂的连环洗劫，案件一时轰动世界！??案发后，中国警察崔振海（张涵予饰）带领公安小队伪装成商人，深入陌生的俄罗斯展开跨国抓捕行动。过程中，化名为瓦西里的神秘人（刘德华饰）和一名叫真真的女子（文咏珊饰）引起了警方的注意，一个更大的惊天阴谋逐渐揭开……,"张涵予HanyuZhang
饰?崔振海

刘德华AndyLau
饰?瓦西里

黄轩XuanHuang
饰?苗青山

文咏珊JaniceMan
饰?真真"
"好像也没那么热血沸腾

(
2023
)",273415,2023,0,14人评分,高虎,邢文雄,中国,中国,,,9月28日2023年,翻拍自西班牙同名电影，对胜利无比执着的篮球教练魏国铮（魏翔饰），因违规受罚被迫进入一所智力障碍学校支教。当奉行“打球就是为了赢”的自负教练，遇上一群热爱篮球但“能力值为负”的球员，在鸡同鸭讲式的日常相处和不停陷入中断的篮球训练中，濒临崩溃的魏教练会有奇招延续自己的不败神话吗？他们又能否一起负负得正，在即将到来的联赛上一路高歌猛进、披荆斩棘、勇夺冠军？,"魏翔XiangWei
王智ZhiWang
艾伦Allen
王子异Boogie"
"奥本海默

(
2023
)",271029,2023,8.6,472人评分,克里斯托弗·诺兰,克里斯托弗·诺兰凯·伯德,剧情/历史/传记,美国,环球影业,180分钟,8月30日2023年,聚焦美国“原子弹之父”罗伯特·奥本海默，他在开发第一颗原子弹的过程中所扮演的角色。剧本改编自KaiBird和MartinJ.Sherwin所著普利策获奖书籍《美国普罗米修斯:奥本海默的成功和悲剧》，被描述为“一部史诗级的惊悚片，将观众带入惊心动魄的悖论中：一个神秘之人必须冒着毁灭世界的危险来拯救世界。,"基里安·墨菲CillianMurphy
艾米莉·布朗特EmilyBlunt
马特·达蒙MattDamon
小罗伯特·唐尼RobertDowneyJr."
"威尼斯惊魂夜

(
2023
)",273075,2023,7,76人评分,肯尼思·布拉纳,迈克尔·格林阿加莎·克里斯蒂,惊悚/剧情/悬疑,美国,20thCenturyStudios华特·迪士尼电影工作室,103分钟,9月15日2023年,在第二次世界大战后的威尼斯，现已退休的波洛过着流亡生活，他不情愿地参加了一个通灵仪式，当一位客人被谋杀时，需要这位前侦探再次揭开凶手的面纱。,"凯利·蕾莉KellyReilly
肯尼思·布拉纳KennethBranagh
杨紫琼MichelleYeoh
凯尔·艾伦KyleAllen"
"孤注一掷

(
2023
)",270487,2023,7.2,480人评分,申奥,申奥张艺凡许渌洋,剧情/犯罪,中国,,130分钟,8月8日2023年,电影取材自上万起真实诈骗案例，境外网络诈骗全产业链骇人内幕将在大银幕上首度被揭秘。程序员潘生（张艺兴饰）、模特安娜（金晨饰）被海外高薪招聘吸引，出国淘金，却意外落入境外诈骗工厂的陷阱。为了离开，两人准备向赌徒阿天（王大陆饰）和其女友小雨（周也饰）下手，从他们身上套现、完成业绩……潘生与安娜能否逃过诈骗集团头目陆经理（王传君饰）和阿才（孙阳饰）的残暴折磨？面对警察（咏梅饰）的跨国调查和追捕，他们又会何去何从？,"张艺兴Lay
金晨ChenJin
咏梅MeiYong
王传君Eric"
