time,title,rate,url
Thu Dec 21 11:26:22 2023,花月杀手,7.3,https://movie.douban.com/subject/26745332/
,名侦探柯南：黑铁的鱼影,6.7,https://movie.douban.com/subject/35873969/
,一千零一种,6.5,https://movie.douban.com/subject/35317553/
,口罩男子不想谈恋爱,7.1,https://movie.douban.com/subject/36327992/
,家庭计划,6.5,https://movie.douban.com/subject/36127988/
,绿夜,5.3,https://movie.douban.com/subject/36217770/
,断网假期,6,https://movie.douban.com/subject/35151492/
,河边的错误,7.3,https://movie.douban.com/subject/35256092/
,好像也没那么热血沸腾,6.9,https://movie.douban.com/subject/35882742/
,坚如磐石,6.2,https://movie.douban.com/subject/33447633/
,五月十二月,7.1,https://movie.douban.com/subject/35295277/
,留校联盟,7.8,https://movie.douban.com/subject/35496212/
,坠落的审判,8.5,https://movie.douban.com/subject/35633650/
,前任4：英年早婚,5.6,https://movie.douban.com/subject/35358443/
,完美的日子,7.9,https://movie.douban.com/subject/35902857/
,志愿军：雄兵出击,6.9,https://movie.douban.com/subject/35496350/
,饥饿游戏：鸣鸟与蛇之歌,7,https://movie.douban.com/subject/34438298/
,白塔之光,7,https://movie.douban.com/subject/35424892/
,30天,6.9,https://movie.douban.com/subject/36070881/
,杀手,6.6,https://movie.douban.com/subject/2998451/
,93国际列车大劫案：莫斯科行动,6.1,https://movie.douban.com/subject/10810266/
,可怜的东西,8.3,https://movie.douban.com/subject/35350109/
,看不见的朋友,7.2,https://movie.douban.com/subject/35954480/
,星愿,6.7,https://movie.douban.com/subject/36090455/
,奥本海默,8.8,https://movie.douban.com/subject/35593344/
,过往人生,7.6,https://movie.douban.com/subject/34963356/
,AI创世者,6.1,https://movie.douban.com/subject/35453476/
,不要太期待世界末日,7.9,https://movie.douban.com/subject/35772577/
,小鸡快跑2：鸡块新时代,7.1,https://movie.douban.com/subject/30206557/
,不虚此行,7,https://movie.douban.com/subject/35432345/
,年少日记,8.5,https://movie.douban.com/subject/34940879/
,第八个嫌疑人,6,https://movie.douban.com/subject/34436452/
,猜谜女士,7.4,https://movie.douban.com/subject/35729393/
,芭比,8.1,https://movie.douban.com/subject/4058939/
,奈德,8.3,https://movie.douban.com/subject/35385225/
,威尼斯惊魂夜,6.1,https://movie.douban.com/subject/36117224/
,我们的一天,7.1,https://movie.douban.com/subject/36367120/
,最后的真相,5.9,https://movie.douban.com/subject/35355164/
,全家变身大作战,6.2,https://movie.douban.com/subject/36360676/
,自由之声,7.8,https://movie.douban.com/subject/30454682/
,疯狂元素城,7.1,https://movie.douban.com/subject/35901878/
,长安三万里,8.3,https://movie.douban.com/subject/36035676/
,蜘蛛侠：纵横宇宙,8.5,https://movie.douban.com/subject/30391186/
,萨特本,6.9,https://movie.douban.com/subject/35749948/
,电锯惊魂10,7.4,https://movie.douban.com/subject/36116844/
,碟中谍7：致命清算（上）,7.6,https://movie.douban.com/subject/30433455/
,鹦鹉杀,5.4,https://movie.douban.com/subject/35496265/
,绿色边境,7.5,https://movie.douban.com/subject/36217949/
,茶啊二中,7.3,https://movie.douban.com/subject/34880018/
,枯叶,8.1,https://movie.douban.com/subject/35928797/
,燃冬,5.6,https://movie.douban.com/subject/35672437/
,网络谜踪2,7.9,https://movie.douban.com/subject/34795100/
,夺宝奇兵5：命运转盘,7,https://movie.douban.com/subject/3819860/
,红色天空,7.7,https://movie.douban.com/subject/35221425/
,蜥蜴伯伯里奥,7.5,https://movie.douban.com/subject/34997864/
,傍晚向日葵,7,https://movie.douban.com/subject/36393865/
,富都青年,7.2,https://movie.douban.com/subject/35211921/
,无价之宝,6.5,https://movie.douban.com/subject/35448384/
,GT赛车：极速狂飙,7.1,https://movie.douban.com/subject/25782720/
,伸冤人3,7.2,https://movie.douban.com/subject/35736400/
,小行星城,6.7,https://movie.douban.com/subject/35209746/
,感恩节,6.4,https://movie.douban.com/subject/3775098/
,无处逢生,7,https://movie.douban.com/subject/35642187/
,封神第一部：朝歌风云,7.8,https://movie.douban.com/subject/10604086/
,命案,7.2,https://movie.douban.com/subject/35524438/
,傻钱,7.1,https://movie.douban.com/subject/36082226/
,金色茧房,6.9,https://movie.douban.com/subject/36367140/
,芭蕾复仇曲,6.9,https://movie.douban.com/subject/35863215/
,普瑞希拉,5.6,https://movie.douban.com/subject/36091107/
,走私,6.7,https://movie.douban.com/subject/35303814/
,巴比伦,8,https://movie.douban.com/subject/34467461/
,不日成婚2,6.7,https://movie.douban.com/subject/35810236/
,祭屋出租,7.3,https://movie.douban.com/subject/36244313/
,扬妮克,7.5,https://movie.douban.com/subject/36352491/
,冷血动物,7.3,https://movie.douban.com/subject/35603697/
,拯救嫌疑人,6.2,https://movie.douban.com/subject/35875180/
,我经过风暴,6.5,https://movie.douban.com/subject/35451890/
,不要见怪,6.5,https://movie.douban.com/subject/35733431/
,混凝土乌托邦,6.3,https://movie.douban.com/subject/35166209/
,蓝色巨人,8.2,https://movie.douban.com/subject/35634583/
,当邪恶潜伏时,6.1,https://movie.douban.com/subject/35840846/
,青春期猪头少年不会梦到娇怜外出妹,7.4,https://movie.douban.com/subject/36107720/
,我爱你！,7.9,https://movie.douban.com/subject/35818074/
,星条红与皇室蓝,7.6,https://movie.douban.com/subject/33406097/
,学爸,6,https://movie.douban.com/subject/35392725/
,新奥林巴斯,7.8,https://movie.douban.com/subject/36171564/
,银河护卫队3,8.4,https://movie.douban.com/subject/26258779/
,念念相忘,6,https://movie.douban.com/subject/35424911/
,本日公休,8.1,https://movie.douban.com/subject/34850550/
,八角笼中,7.3,https://movie.douban.com/subject/35765480/
,复仇狗联盟,7.3,https://movie.douban.com/subject/35802912/
,勇敢的市民,6.6,https://movie.douban.com/subject/35605944/
,博很恐惧,7.1,https://movie.douban.com/subject/35381711/
,疾速追杀4,7.3,https://movie.douban.com/subject/33455421/
,闪电侠,7.7,https://movie.douban.com/subject/3011317/
,热烈,7.2,https://movie.douban.com/subject/35556001/
,消失的她,6.2,https://movie.douban.com/subject/35660795/
,修女2,5.7,https://movie.douban.com/subject/33406478/
,孤注一掷,6.9,https://movie.douban.com/subject/35267224/
,忍者神龟：变种大乱斗,6.8,https://movie.douban.com/subject/26369765/
,果尔达,7.3,https://movie.douban.com/subject/35525524/
,眠,5.8,https://movie.douban.com/subject/35621135/
,法式火锅,7.2,https://movie.douban.com/subject/35875476/
,毒舌律师,7.5,https://movie.douban.com/subject/35914259/
,老橡树酒馆,6.6,https://movie.douban.com/subject/35884587/
,奇美拉,8.2,https://movie.douban.com/subject/35448539/
,千博士驱魔研究所,5.7,https://movie.douban.com/subject/35805804/
,我的错误,7.2,https://movie.douban.com/subject/36168684/
,哆啦A梦：大雄与天空的理想乡,7.1,https://movie.douban.com/subject/35967711/
,止痛骗,6.6,https://movie.douban.com/subject/35603707/
,千寻小姐,7.8,https://movie.douban.com/subject/35791966/
,俄罗斯方块,8,https://movie.douban.com/subject/26087471/
,温柔壳,7,https://movie.douban.com/subject/34853941/
,龙与地下城：侠盗荣耀,7.6,https://movie.douban.com/subject/26584673/
,上帝在吗？我是玛格丽特,7.5,https://movie.douban.com/subject/35367386/
,疫起,7.2,https://movie.douban.com/subject/35211920/
,暗杀风暴,5.7,https://movie.douban.com/subject/26746801/
,气垫传奇,7.5,https://movie.douban.com/subject/35738421/
,无名,6.6,https://movie.douban.com/subject/35372742/
,满江红,7,https://movie.douban.com/subject/35766491/
,利益区域,7.8,https://movie.douban.com/subject/35169716/
,教师休息室,7.7,https://movie.douban.com/subject/36193697/
,生无可恋的奥托,7.6,https://movie.douban.com/subject/27150277/
,蓝甲虫,4.6,https://movie.douban.com/subject/30391109/
,绝地追击,6.5,https://movie.douban.com/subject/35192609/
,东北警察故事2,7.2,https://movie.douban.com/subject/35813934/
,名侦探柯南 灰原哀物语～黑铁的神秘列车～,6.7,https://movie.douban.com/subject/36178405/
,都是陌生人,7.7,https://movie.douban.com/subject/35955811/
,非官方行动,6.8,https://movie.douban.com/subject/30391894/
,黑帮老妈,6.8,https://movie.douban.com/subject/35414282/
,绝对杀手,6.5,https://movie.douban.com/subject/35904240/
,惊天营救2,7.4,https://movie.douban.com/subject/35056376/
,自由职业者,5.6,https://movie.douban.com/subject/36078445/
,这么多年,6.3,https://movie.douban.com/subject/35591164/
,死尸死时四十四,6.3,https://movie.douban.com/subject/35914241/
,杀死福顺,6.7,https://movie.douban.com/subject/35521951/
,女僚机,6.8,https://movie.douban.com/subject/36056072/
,我的幸福婚约,6.5,https://movie.douban.com/subject/35882114/
,圣人营救,5.8,https://movie.douban.com/subject/35708511/
